City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,35,14,34,0.47,4,60,53,7
阿克苏地区,121,49,190,0.85,15,58,26,3
阿拉善盟,68,23,84,0.4,4,103,103,8
阿勒泰地区,30,3,6,0.5,19,61,58,6
阿里地区,18,7,9,0.9,34,26,25,11
安康,43,30,38,0.7,17,40,38,10
安庆,35,24,27,0.74,21,30,33,6
鞍山,70,39,88,1.41,42,26,28,36
安顺,60,42,54,0.43,12,83,81,13
安阳,89,19,126,0.74,24,64,73,15
白城,32,11,26,0.3,16,66,63,14
百色,49,34,46,1.0,18,4,9,11
白山,52,28,52,0.9,19,33,41,13
白银,263,114,393,0.35,13,84,87,53
保定,52,24,52,0.37,25,56,69,6
宝鸡,73,34,94,0.88,43,21,22,19
保山,56,39,51,0.65,20,32,34,4
包头,35,14,34,0.48,9,71,67,8
巴彦淖尔,34,12,32,0.47,12,62,67,9
巴中,57,37,62,0.68,26,9,11,4
北海,27,13,26,0.73,11,39,47,6
北京,60,22,67,0.43,34,41,54,3
蚌埠,89,66,96,0.87,56,6,9,14
本溪,66,30,79,1.35,37,21,29,20
毕节,65,46,62,0.6,12,90,92,8
滨州,49,15,48,0.6,18,70,74,13
博州,33,18,32,0.25,11,45,51,6
亳州,108,80,108,0.55,36,20,16,8
沧州,48,17,47,0.67,27,61,77,14
长春,53,33,53,0.69,37,25,20,21
常德,61,43,50,1.18,15,64,37,8
昌都,23,9,22,0.6,10,36,42,4
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,35,20,34,0.93,29,44,40,11
长沙,69,49,50,1.27,38,5,5,7
常熟,96,62,140,1.53,65,11,17,13
长治,131,62,210,2.14,55,29,25,33
常州,65,46,72,0.95,54,46,32,12
朝阳,69,49,59,0.9,36,19,35,20
潮州,75,54,67,1.0,26,20,23,16
承德,34,12,32,0.38,29,42,67,6
成都,52,26,51,0.61,43,28,40,5
郴州,51,31,50,0.98,13,72,70,9
赤峰,44,16,43,0.83,37,10,25,22
池州,38,26,16,0.63,21,44,25,6
重庆,77,56,93,0.85,49,21,21,12
崇左,56,39,56,0.85,16,3,4,4
楚雄州,45,31,36,0.7,13,108,69,14
滁州,70,50,76,0.9,46,59,42,13
大连,54,18,56,0.48,43,42,66,15
大理州,42,29,35,0.8,19,64,67,6
丹东,44,18,43,0.65,33,49,71,25
大庆,45,31,43,0.56,28,40,52,8
大同,29,9,25,0.85,15,61,57,14
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,35,16,34,0.3,16,56,59,20
达州,76,55,68,0.94,51,3,4,6
德宏州,61,43,61,0.65,16,39,53,4
德阳,62,37,72,0.68,52,15,29,8
德州,55,10,57,0.37,15,78,82,5
定西,81,44,110,0.55,48,17,42,21
迪庆州,31,16,21,0.45,9,48,60,9
东莞,56,39,59,0.98,50,4,4,9
东营,52,11,51,0.23,13,81,86,5
鄂尔多斯,60,16,67,0.52,20,52,58,16
恩施州,59,32,65,0.65,24,9,12,4
鄂州,39,21,38,0.8,41,9,10,5
防城港,43,30,42,1.07,57,7,11,6
佛山,60,36,67,0.88,51,7,13,9
抚顺,78,57,98,0.82,40,28,26,23
阜新,50,35,33,0.48,23,43,52,36
阜阳,93,69,110,1.07,65,11,11,4
富阳,0,0,0,0.0,0,0,0,0
福州,63,44,74,0.92,33,30,28,5
抚州,69,49,64,1.5,22,5,12,10
甘南州,89,34,126,1.0,28,25,23,15
赣州,42,25,41,1.22,11,64,63,17
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,34,16,33,0.2,12,57,63,17
广安,72,52,85,0.86,34,16,14,8
广元,58,28,64,0.73,43,18,21,11
广州,58,33,63,0.88,60,4,6,7
贵港,43,29,42,1.15,37,4,4,13
桂林,55,38,52,1.8,23,4,4,8
贵阳,61,43,62,0.52,10,107,93,8
果洛州,66,32,79,1.0,14,49,53,34
固原,148,49,244,0.7,28,53,53,12
哈尔滨,61,43,70,0.8,41,22,34,18
海北州,104,46,156,0.3,6,94,89,13
海东地区,120,63,188,0.6,61,12,22,17
海口,22,13,21,0.48,12,33,40,3
海门,61,43,61,0.8,34,23,25,12
海南州,97,40,141,0.8,12,82,37,8
海西州,99,31,146,0.5,10,68,59,6
哈密地区,38,7,36,0.45,6,75,74,1
邯郸,94,27,136,0.45,24,70,80,6
杭州,27,13,25,0.55,25,59,53,6
汉中,65,36,77,1.2,29,8,9,10
鹤壁,83,37,113,0.4,22,67,62,14
河池,55,38,50,1.2,10,4,5,6
合肥,54,35,55,0.82,47,9,5,3
鹤岗,35,15,26,0.5,8,68,69,5
黑河,40,8,15,0.5,5,76,78,6
衡水,52,21,51,0.4,29,52,67,7
衡阳,81,59,84,2.62,38,2,2,23
和田地区,201,110,350,0.75,31,33,15,80
河源,46,32,40,1.07,31,9,25,8
菏泽,123,51,194,0.83,25,49,40,18
贺州,60,42,46,0.6,14,20,30,26
红河州,100,75,86,0.93,11,82,83,12
淮安,82,40,111,0.64,20,98,106,6
淮北,141,107,163,0.87,19,105,34,14
怀化,65,44,77,1.62,17,12,11,13
淮南,86,63,105,0.8,50,6,9,18
黄冈,43,23,42,0.85,31,10,17,10
黄南州,9,0,0,0.8,17,0,0,25
黄山,75,54,82,0.9,28,30,36,5
黄石,61,35,69,1.03,38,21,10,14
呼和浩特,35,8,29,0.64,14,71,68,9
惠州,58,35,64,0.9,46,5,13,7
葫芦岛,54,29,55,1.1,61,23,43,33
呼伦贝尔,31,18,20,0.5,14,53,60,3
湖州,71,51,66,0.79,58,43,57,14
佳木斯,30,19,29,0.42,21,53,45,7
吉安,46,28,45,0.43,13,54,57,47
江门,67,39,81,0.92,33,26,36,10
江阴,85,62,76,0.93,62,5,4,14
胶南,87,36,122,0.8,45,29,43,5
胶州,68,20,84,0.7,27,59,69,6
焦作,114,62,175,1.07,31,76,69,14
嘉兴,32,14,25,0.7,42,40,63,5
嘉峪关,47,14,46,0.6,38,40,73,7
揭阳,78,57,102,1.5,43,4,6,14
吉林,54,37,56,0.74,29,45,49,11
即墨,60,19,67,0.5,20,60,64,5
济南,105,39,157,0.71,48,54,62,14
金昌,50,10,43,0.6,5,96,99,4
晋城,140,61,228,2.02,80,8,17,27
景德镇,32,20,31,0.66,16,2,4,7
荆门,128,97,138,1.0,40,12,12,12
荆州,62,42,72,1.03,26,3,4,7
金华,29,20,0,0.7,40,10,6,6
济宁,117,88,133,0.9,24,89,80,18
金坛,67,48,56,1.2,46,11,32,7
晋中,113,54,174,0.78,30,64,49,13
锦州,55,30,57,0.9,57,14,39,112
九江,92,68,85,0.79,40,19,26,9
酒泉,43,15,42,0.6,36,50,79,9
鸡西,54,24,55,0.57,25,37,44,10
句容,49,24,48,0.9,38,14,23,3
开封,135,37,218,0.56,21,81,60,12
喀什地区,363,151,469,1.2,58,7,5,14
克拉玛依,31,10,30,0.46,15,58,60,4
克州,116,44,180,1.7,8,54,53,6
库尔勒,141,50,230,0.6,15,72,56,4
昆明,58,40,55,1.01,31,74,83,19
昆山,74,53,65,1.15,61,6,13,9
来宾,48,32,47,0.7,22,20,35,48
莱芜,88,65,99,0.67,18,89,77,10
莱西,67,33,81,0.65,33,32,44,10
莱州,42,14,38,0.5,16,83,82,8
廊坊,62,28,72,0.8,56,24,47,6
兰州,184,69,315,0.87,60,23,29,17
拉萨,41,14,40,0.45,14,52,57,5
乐山,81,59,81,0.94,40,44,46,7
凉山州,48,32,44,0.74,11,84,95,13
连云港,58,24,64,0.64,26,78,104,9
聊城,98,35,144,1.27,52,31,44,24
辽阳,86,63,59,1.05,46,21,22,26
辽源,40,28,36,1.0,37,29,42,19
丽江,43,11,28,0.73,6,82,85,6
临安,28,17,27,0.5,21,65,52,3
临沧,58,40,0,0.9,10,72,77,9
临汾,103,55,153,1.21,43,37,26,20
临夏州,104,61,155,0.85,26,25,21,15
临沂,95,46,137,0.7,54,40,61,24
林芝,39,11,22,0.35,15,83,77,2
林芝地区,18,4,16,0.35,6,51,35,3
丽水,61,43,50,0.87,39,22,29,8
六盘水,65,46,62,0.58,13,80,64,11
柳州,45,31,42,0.88,23,16,16,6
溧阳,55,32,57,0.9,41,25,39,9
陇南,56,26,60,0.7,40,13,26,16
龙岩,29,20,27,0.63,14,42,44,8
娄底,57,37,61,1.46,25,12,8,12
六安,56,39,59,0.73,36,8,11,10
漯河,96,71,113,1.02,54,12,22,12
洛阳,118,76,184,0.84,80,8,7,17
泸州,100,75,91,0.7,45,19,19,10
吕梁,121,63,190,0.87,58,5,4,23
马鞍山,43,29,42,0.88,30,44,32,10
茂名,34,17,33,0.55,10,46,57,3
眉山,63,44,65,0.6,46,32,53,7
梅州,50,25,49,0.87,22,4,4,6
